id,name,price,description
562,Mazda,8835.17,Realigned 24/7 contingency
563,Isuzu,4096.66,Persevering zero administration customer loyalty
564,Toyota,4418.5,Sharable content-based adapter
565,Lincoln,2113.08,Configurable coherent parallelism
566,Kia,7313.61,Streamlined global customer loyalty
567,Oldsmobile,9351.69,Self-enabling client-server protocol
568,Mitsubishi,478.38,Multi-layered foreground encryption
569,Pontiac,8513.92,Optional radical challenge
570,Toyota,4372.52,Re-contextualized human-resource Graphical User Interface
571,Jeep,7487.78,Exclusive system-worthy firmware
572,Hyundai,9120.05,Seamless grid-enabled challenge
573,Mercury,8158.26,Assimilated static secured line
574,Lotus,8356.73,Multi-lateral object-oriented protocol
575,Ford,3137.46,Programmable bandwidth-monitored service-desk
576,Chevrolet,9261.22,Multi-tiered zero administration support
577,Peugeot,8641.22,Cross-platform solution-oriented knowledge user
578,Porsche,4652.04,Secured dynamic middleware
579,Toyota,6722.53,Digitized systemic workforce
580,BMW,6944.97,Seamless homogeneous orchestration
581,Hyundai,848.37,Switchable fault-tolerant service-desk
582,BMW,233.41,Innovative multimedia focus group
583,Kia,6558.23,Reactive 5th generation artificial intelligence
584,Volkswagen,8270.46,Profit-focused optimal pricing structure
585,GMC,1628.83,Organized static artificial intelligence
586,Eagle,7824.24,Enterprise-wide directional internet solution
587,Subaru,4938.49,Proactive foreground knowledge base
588,Dodge,2518.96,Persistent asymmetric hierarchy
589,GMC,8698.84,Open-source explicit toolset
590,Mitsubishi,4257.61,Synchronised tertiary time-frame
591,Kia,9277.18,Total maximized projection
592,BMW,2342.01,Optimized object-oriented model
593,Toyota,9746.28,Devolved non-volatile software
594,Buick,9573.48,Polarised explicit functionalities
595,Dodge,338.66,Customizable high-level Graphic Interface
596,BMW,955.33,Public-key bifurcated leverage
597,Jaguar,7663.38,Public-key discrete protocol
598,Ford,2970.47,Customizable human-resource flexibility
599,Volkswagen,1164.32,Operative incremental ability
600,Jeep,9585.79,Innovative client-driven service-desk
601,Isuzu,4692.64,Enhanced impactful budgetary management
602,Toyota,2740.39,Down-sized interactive hierarchy
603,Audi,6305.97,Sharable motivating task-force
604,Mercury,3527.64,Synchronised transitional leverage
605,Honda,103.2,Reduced radical moderator
606,Acura,9742.32,Cloned interactive budgetary management
607,Chrysler,4378.99,Managed interactive frame
608,Mercury,2066.38,Sharable secondary orchestration
609,Chrysler,8164.16,Stand-alone needs-based function
610,Buick,5589.9,Switchable motivating policy
611,Lincoln,5504.55,Stand-alone even-keeled utilisation
612,Audi,323.1,Customizable eco-centric open system
613,Mercury,1935.04,Compatible impactful productivity
614,Ford,7479.87,Open-architected hybrid knowledge base
615,Toyota,4695.74,Fully-configurable responsive artificial intelligence
616,Chevrolet,4613.3,Automated demand-driven knowledge base
617,Land Rover,7409.91,Object-based cohesive conglomeration
618,Saab,7853.76,Fully-configurable reciprocal open system
619,Acura,2467.14,Team-oriented value-added application
620,Chevrolet,3778.54,Devolved even-keeled functionalities
621,Toyota,4409.33,Right-sized multi-tasking open system
622,Infiniti,4670.82,Digitized incremental budgetary management
623,Chevrolet,9700.31,Seamless non-volatile instruction set
624,Cadillac,1329.46,Managed empowering structure
625,Chevrolet,8044.86,Multi-layered reciprocal function
626,Infiniti,8430.46,Front-line methodical conglomeration
627,MINI,6011.8,Front-line empowering access
628,BMW,8271.01,Mandatory secondary website
629,Plymouth,6578.67,Centralized asynchronous approach
630,Volkswagen,5148.25,Assimilated human-resource focus group
631,Mitsubishi,9461.08,Enterprise-wide heuristic forecast
632,Saab,4018.68,Realigned attitude-oriented ability
633,Bentley,3271.56,Inverse asymmetric solution
634,Audi,7147.02,Reverse-engineered disintermediate encoding
635,GMC,7955.17,Operative analyzing throughput
636,Chevrolet,7031.66,Progressive contextually-based function
637,BMW,7787.85,Versatile systematic hub
638,Ram,1285.55,Multi-channelled holistic Graphic Interface
639,Chevrolet,1175.68,Diverse tertiary toolset
640,GMC,9906.04,Progressive regional solution
641,Maserati,1282.23,Multi-tiered heuristic Graphical User Interface
642,Toyota,6488.25,Visionary fresh-thinking structure
643,Hyundai,4231.17,Mandatory 3rd generation core
644,Buick,9756.63,Persistent neutral installation
645,Cadillac,6218.12,Extended client-driven knowledge base
646,Toyota,533.98,Profound optimizing moderator
647,Saturn,3702.72,Focused hybrid knowledge user
648,Chevrolet,3582.12,Centralized stable framework
649,Aston Martin,7846.74,Organic bottom-line implementation
650,Cadillac,7915.18,Profound demand-driven array
651,Dodge,3479.96,Managed coherent approach
652,Chrysler,7950.76,Enhanced motivating support
653,Lotus,4359.79,Assimilated heuristic service-desk
654,Volvo,4711.32,Pre-emptive fresh-thinking portal
655,Buick,3574.92,User-centric web-enabled neural-net
656,Buick,9458.11,Realigned 5th generation superstructure
657,Ford,8775.56,Function-based multimedia structure
658,Hyundai,2168.69,Triple-buffered web-enabled pricing structure
659,Dodge,7810.78,Expanded context-sensitive synergy
660,Infiniti,7065.19,Balanced tangible service-desk
661,Land Rover,8961.14,Stand-alone holistic pricing structure
662,Lincoln,4179.47,Cloned maximized website
663,Mercedes-Benz,1257.68,Assimilated zero tolerance local area network
664,Ford,5579.75,Progressive regional info-mediaries
665,Maybach,875.99,Persistent optimal orchestration
666,Saturn,6349.17,Horizontal transitional adapter
667,Plymouth,2358.79,Reverse-engineered disintermediate infrastructure
668,Acura,8687.52,Organized solution-oriented function
669,Volkswagen,2382.72,Diverse heuristic time-frame
670,Cadillac,4707.26,Business-focused non-volatile parallelism
671,Jaguar,5140.41,Visionary client-server portal
672,Hyundai,7798.37,Reduced maximized knowledge user
673,Mercury,4051.65,Stand-alone zero administration functionalities
674,Toyota,9114.18,Organized client-driven standardization
675,Mercedes-Benz,3435.25,Open-architected tertiary neural-net
676,Infiniti,4953.29,User-friendly fresh-thinking solution
677,Volvo,9747.46,Object-based mobile application
678,Honda,1023.6,Balanced asynchronous parallelism
679,Scion,5606.07,Vision-oriented incremental definition
680,Maserati,536.95,Streamlined zero defect local area network
681,Suzuki,7097.85,Business-focused full-range support
682,GMC,6971.54,User-centric discrete frame
683,Lexus,2166.5,Cross-group directional budgetary management
684,Mitsubishi,151.59,Intuitive stable policy
685,Honda,4892.47,Seamless next generation help-desk
686,Pontiac,8050.63,Cross-group eco-centric local area network
687,Volkswagen,6134.94,Triple-buffered grid-enabled application
688,Maybach,1557.72,Streamlined dedicated workforce
689,Dodge,5979.81,Proactive high-level flexibility
690,Pontiac,1034.55,Innovative bifurcated throughput
691,Pontiac,1749.28,Seamless systematic encryption
692,Ford,4696.53,Compatible reciprocal functionalities
693,Audi,8170.33,Multi-tiered 24 hour core
694,Infiniti,8301.53,Operative grid-enabled intranet
695,Mercedes-Benz,2731.46,Centralized contextually-based benchmark
696,Plymouth,5237.6,Distributed 4th generation customer loyalty
697,Chrysler,524.76,Customer-focused radical system engine
698,Ford,4894.39,Decentralized systemic open system
699,Toyota,397.45,Triple-buffered exuding knowledge base
700,Honda,5438.36,Focused zero tolerance matrix
701,Mercury,7459.53,Open-source client-driven paradigm
702,Buick,2672.32,Streamlined exuding capability
703,Chrysler,7281.74,Cloned maximized toolset
704,Ram,3341.59,Self-enabling explicit portal
705,Honda,7277.33,Synergistic 4th generation adapter
706,Nissan,1540.66,Multi-lateral responsive ability
707,Chevrolet,4069.27,Triple-buffered responsive structure
708,Dodge,1039.59,Configurable needs-based orchestration
709,Toyota,5990.15,Upgradable demand-driven emulation
710,Kia,5530.09,Optional logistical flexibility
711,Ford,8075.48,Optimized regional attitude
712,Pontiac,9039.05,Monitored didactic support
713,Mercedes-Benz,4767.08,Organized stable access
714,Honda,4659.99,Configurable coherent monitoring
715,Saturn,5230.98,Down-sized intermediate task-force
716,Mazda,1422.79,Proactive tertiary project
717,Acura,4139.88,Synchronised context-sensitive migration
718,Plymouth,4088.88,Ergonomic multimedia utilisation
719,Infiniti,1510.61,Cloned well-modulated capacity
720,Mitsubishi,8118.5,Synergized coherent standardization
721,Pontiac,5857.85,Customizable static interface
722,Jeep,3814.33,Cross-platform multi-tasking toolset
723,Saab,7688.64,Fully-configurable system-worthy budgetary management
724,Toyota,4461.26,Synergistic non-volatile instruction set
725,Suzuki,530.02,Monitored fault-tolerant ability
726,Volvo,3431.21,Up-sized radical service-desk
727,Chevrolet,9879.67,Cross-platform user-facing portal
728,Ford,8935.41,Function-based homogeneous orchestration
729,Volkswagen,365.62,Open-source well-modulated frame
730,Toyota,8925.92,Exclusive executive utilisation
731,Dodge,6112.41,Cross-group responsive flexibility
732,Maserati,7174.42,Implemented asymmetric frame
733,Mazda,1283.34,Centralized bandwidth-monitored matrices
734,Dodge,3638.78,Team-oriented human-resource emulation
735,Hyundai,6244.5,Secured composite core
736,Lotus,2344.14,Cloned object-oriented hierarchy
737,Chevrolet,230.39,Versatile 5th generation moratorium
738,Toyota,5317.46,Grass-roots next generation knowledge base
739,Lexus,6229.45,Grass-roots full-range array
740,Chevrolet,7997.1,Intuitive dynamic matrices
741,Porsche,1742.72,Function-based optimizing middleware
742,Subaru,1032.75,User-friendly intermediate function
743,Dodge,5501.67,Streamlined regional software
744,Jeep,3681.11,Self-enabling 5th generation knowledge user
745,GMC,3839.81,Seamless local orchestration
746,Buick,3196.81,Horizontal bottom-line synergy
747,Volvo,9081.14,Devolved dedicated implementation
748,Lincoln,2726.74,Function-based hybrid architecture
749,Land Rover,6923.32,Team-oriented disintermediate customer loyalty
750,Mitsubishi,5883.46,Profit-focused mobile matrices
751,Volkswagen,4973.38,Optimized fault-tolerant project
752,Cadillac,6564.69,Robust asymmetric projection
753,Pontiac,7396.99,Mandatory responsive frame
754,Audi,4693.82,Sharable global knowledge base
755,Cadillac,7718.41,Synergistic optimal structure
756,Dodge,3772.15,Robust foreground artificial intelligence
757,Mercury,5245.05,Intuitive national pricing structure
758,Honda,3522.07,Integrated coherent system engine
759,Suzuki,4966.45,Expanded object-oriented forecast
760,Cadillac,1576.57,Diverse disintermediate strategy
761,BMW,2961.7,Fully-configurable foreground productivity
762,Jaguar,9768.35,Synchronised optimizing analyzer
763,Suzuki,5556.06,Front-line systemic challenge
764,Ford,432.6,Reactive foreground matrices
765,Pontiac,1976.33,Up-sized 24 hour info-mediaries
766,Isuzu,4990.46,Compatible explicit implementation
767,Infiniti,3659.21,Assimilated empowering flexibility
768,Pontiac,8826.13,Business-focused radical website
769,Dodge,6388.36,Versatile leading edge Graphical User Interface
770,Volkswagen,7300.32,De-engineered responsive local area network
771,Acura,1498.14,Devolved exuding local area network
772,Buick,4004.13,Programmable foreground matrices
773,Mercury,8935.4,Total web-enabled paradigm
774,Audi,2259.39,Cross-platform grid-enabled flexibility
775,Kia,5643.6,Reactive clear-thinking database
776,Honda,4194.93,Sharable content-based moderator
777,Pontiac,1406.4,Organic motivating middleware
778,Jeep,3945.58,Quality-focused encompassing algorithm
779,Subaru,7451.99,Configurable multi-state capacity
780,Mitsubishi,127.34,Seamless even-keeled knowledge user
781,Pontiac,4818.43,Devolved dynamic website
782,Nissan,7397.95,Assimilated local process improvement
783,Kia,918.32,Fundamental solution-oriented utilisation
784,Buick,9611.7,Customizable full-range matrices
785,Mercedes-Benz,4891.16,Cross-group solution-oriented framework
786,Volkswagen,9798.12,Ameliorated zero tolerance installation
787,Saab,9033.58,Profit-focused full-range portal
788,Dodge,1441.6,Reverse-engineered fresh-thinking info-mediaries
789,Acura,8676.71,Business-focused even-keeled model
790,Isuzu,5547.98,Vision-oriented heuristic collaboration
791,Rolls-Royce,5676.67,Versatile system-worthy complexity
792,Lotus,8799.86,Seamless discrete approach
793,Chrysler,2911.23,Integrated next generation customer loyalty
794,Chevrolet,3877.95,Secured discrete architecture
795,Lexus,5239.29,Progressive background encoding
796,Spyker,4849.28,Synchronised intermediate circuit
797,Ford,5124.77,Innovative incremental functionalities
798,Lincoln,658.79,Mandatory intangible matrix
799,Volkswagen,7823.73,Visionary bandwidth-monitored model
800,Acura,1944.87,Open-architected multi-state secured line
801,Saab,6608.5,Reactive bi-directional throughput
802,Ford,5951.56,Mandatory responsive functionalities
803,Ford,5461.84,Team-oriented bi-directional capacity
804,Chevrolet,9594.91,Cross-group zero tolerance superstructure
805,Toyota,996.04,Innovative optimizing analyzer
806,Mitsubishi,2516.97,Decentralized human-resource model
807,Toyota,8550.16,Optimized systematic encoding
808,Mitsubishi,3208.99,Sharable zero tolerance parallelism
809,Toyota,7617.09,Synergized eco-centric archive
810,Jeep,7505.3,Switchable user-facing info-mediaries
811,Mercury,6756.09,Multi-lateral bandwidth-monitored website
812,Chrysler,7724.97,Face to face attitude-oriented open system
813,Dodge,4580.2,Managed 4th generation budgetary management
814,Subaru,8709.92,Open-architected system-worthy support
815,BMW,2369.99,Proactive encompassing monitoring
816,Mercury,8062.46,Object-based optimizing alliance
817,Lexus,4136.48,Balanced multimedia application
818,Acura,5457.1,Expanded mobile conglomeration
819,GMC,5565.76,Down-sized composite framework
820,Suzuki,6487.51,Organic bi-directional concept
821,Pontiac,6970.13,Vision-oriented heuristic conglomeration
822,Volkswagen,4388.98,Cross-group intangible system engine
823,Pontiac,2740.2,Future-proofed responsive secured line
824,Mercedes-Benz,842.94,Progressive zero defect matrix
825,GMC,7084.85,Balanced needs-based interface
826,Chevrolet,9775.91,Networked intangible encryption
827,Dodge,9695.58,Total background portal
828,Honda,4890.23,Organic executive capacity
829,Ford,9844.94,Networked client-server projection
830,Buick,8091.83,Universal system-worthy function
831,BMW,3781.31,Quality-focused encompassing time-frame
832,Ford,6995.83,Centralized radical superstructure
833,Ford,638.53,Balanced neutral methodology
834,Kia,3040.07,Down-sized disintermediate time-frame
835,Toyota,5020.76,Stand-alone methodical groupware
836,Audi,694.39,Devolved attitude-oriented intranet
837,Chevrolet,7583.31,Front-line contextually-based approach
838,Chevrolet,2816.17,Multi-layered interactive success
839,Volkswagen,2843.44,Diverse scalable array
840,Ford,5852.4,Assimilated cohesive protocol
841,Pontiac,5708.97,Monitored needs-based open architecture
842,Pontiac,5498.53,Pre-emptive eco-centric moratorium
843,Chevrolet,320.99,Centralized leading edge complexity
844,Chevrolet,5221.4,Multi-lateral user-facing budgetary management
845,Jeep,5784.43,Mandatory neutral ability
846,Subaru,9340.24,Persistent bandwidth-monitored encryption
847,Dodge,3619.09,Polarised fault-tolerant capability
848,Volvo,1906.1,Re-engineered logistical archive
849,Acura,3010.8,Organized maximized synergy
850,Nissan,4627.53,Phased attitude-oriented adapter
851,BMW,6930.58,Realigned zero administration solution
852,Cadillac,3994.09,Quality-focused non-volatile secured line
853,Mitsubishi,7810.78,Triple-buffered encompassing access
854,Suzuki,3574.34,Persistent executive Graphical User Interface
855,GMC,7445.93,Optional discrete implementation
856,GMC,2338.79,Integrated heuristic standardization
857,Plymouth,3413.63,Down-sized executive moderator
858,Mercury,7070.16,Synergized content-based encoding
859,Volvo,3048.21,Operative dedicated architecture
860,Dodge,3353.97,Self-enabling dedicated attitude
861,Porsche,1246.43,Proactive 24 hour complexity
862,Kia,9022.58,Innovative cohesive firmware
863,Ford,4537.61,Versatile leading edge circuit
864,Mitsubishi,8822.26,Phased bandwidth-monitored capability
865,Mazda,4501.09,Future-proofed upward-trending info-mediaries
866,Chevrolet,9808.25,Innovative maximized function
867,Dodge,3359.07,Cross-group 24/7 definition
868,Mercury,1268.1,Customizable high-level model
869,MINI,388.45,Persevering local projection
870,Oldsmobile,8006.15,Virtual mission-critical monitoring
871,Suzuki,7650.18,Fundamental hybrid groupware
872,Isuzu,6251.95,Programmable client-driven extranet
873,Hyundai,6625.1,Polarised dedicated support
874,Ford,8269.73,Organized regional strategy
875,Toyota,1283.27,Synchronised global circuit
876,Mazda,2451.63,Phased homogeneous workforce
877,Kia,9751.94,Distributed bottom-line implementation
878,GMC,9928.61,Decentralized web-enabled focus group
879,Ford,9541.85,Visionary neutral attitude
880,Ford,2727.56,Future-proofed bi-directional pricing structure
881,Mercedes-Benz,4892.95,Future-proofed disintermediate leverage
882,Chevrolet,5179.8,Managed foreground collaboration
883,Eagle,6988.62,Seamless system-worthy pricing structure
884,Rolls-Royce,2898.99,Universal 24 hour core
885,Volvo,6011.73,Stand-alone executive firmware
886,Dodge,5857.6,Advanced zero defect process improvement
887,Scion,6237.33,Customizable dynamic knowledge user
888,Honda,3239.34,Optional 5th generation array
889,Ford,1006.42,Ameliorated well-modulated archive
890,Pontiac,8549.27,Polarised coherent monitoring
891,Mazda,6222.73,Multi-channelled methodical website
892,Scion,4292.6,Horizontal web-enabled strategy
893,Lexus,7628.27,Compatible user-facing functionalities
894,Honda,6279.86,Seamless needs-based help-desk
895,Pontiac,3483.03,Monitored actuating initiative
896,Isuzu,6411.7,Multi-layered global policy
897,Mitsubishi,8321.03,Adaptive reciprocal intranet
898,Toyota,9387.04,Programmable 24 hour info-mediaries
899,Porsche,7293.64,Integrated multimedia service-desk
900,Pontiac,6190.34,Function-based uniform definition
901,Volkswagen,7545.01,Proactive 24 hour policy
902,Mitsubishi,1165.8,Customer-focused 24/7 array
903,Hyundai,9469.9,Operative asymmetric project
904,Oldsmobile,8948.4,Grass-roots heuristic customer loyalty
905,Chrysler,7973.03,Persevering fresh-thinking throughput
906,Toyota,1188.34,Cloned 3rd generation parallelism
907,Audi,7824.3,Face to face multi-state protocol
908,Volkswagen,5399.28,Horizontal methodical solution
909,Mazda,4840.87,Optional next generation migration
910,Audi,6099.06,Proactive tertiary function
911,Cadillac,9155.0,Robust reciprocal implementation
912,Lincoln,497.82,Public-key eco-centric projection
913,Volvo,9474.16,Cross-group asymmetric hardware
914,Buick,2825.78,Focused reciprocal focus group
915,Jeep,4455.27,Right-sized systematic function
916,Chevrolet,7820.51,Pre-emptive global ability
917,Chevrolet,2709.43,Devolved bandwidth-monitored database
918,Subaru,863.19,Ergonomic asynchronous alliance
919,GMC,8787.11,Digitized zero tolerance synergy
920,Mazda,4703.42,Digitized mission-critical moderator
921,BMW,9261.28,Enhanced maximized system engine
922,Chevrolet,5591.27,Mandatory 5th generation software
923,Nissan,2039.61,Realigned foreground contingency
924,Scion,6216.15,Persevering static superstructure
925,Volkswagen,186.27,Programmable multi-state alliance
926,GMC,3395.51,Open-source responsive success
927,Honda,2276.12,Switchable leading edge intranet
928,Ford,5902.76,User-friendly foreground productivity
929,Chevrolet,6132.82,Versatile stable portal
930,Dodge,6996.19,Advanced multimedia monitoring
931,Mercedes-Benz,337.03,Virtual encompassing concept
932,Eagle,7706.08,Stand-alone client-server middleware
933,Ford,9108.62,Persevering cohesive challenge
934,Saab,9166.71,Profound mobile groupware
935,Toyota,4958.81,Total disintermediate customer loyalty
936,Subaru,2315.04,Right-sized maximized system engine
937,Mitsubishi,6062.0,Profit-focused homogeneous initiative
938,GMC,5955.91,Intuitive bottom-line ability
939,Mazda,6921.3,Horizontal logistical interface
940,Audi,569.51,Virtual foreground open system
941,Lexus,8650.1,Networked contextually-based alliance
942,Honda,7637.95,Inverse eco-centric project
943,Geo,2772.2,De-engineered grid-enabled monitoring
944,Land Rover,9228.13,Secured intermediate open system
945,Honda,2535.76,Secured clear-thinking moratorium
946,Mitsubishi,105.31,Upgradable leading edge array
947,Mazda,7068.43,Visionary fault-tolerant analyzer
948,Saturn,7618.31,Mandatory non-volatile protocol
949,Chrysler,2088.67,Enhanced fresh-thinking intranet
950,Pontiac,9017.34,Face to face heuristic migration
951,Audi,7665.89,Realigned fault-tolerant workforce
952,Acura,6241.95,Face to face needs-based open system
953,Volvo,8923.6,Profound stable function
954,Mazda,5237.69,Pre-emptive radical software
955,Ford,6704.29,Optimized client-driven access
956,Chevrolet,6709.75,Customer-focused reciprocal solution
957,Ford,6668.6,Up-sized didactic implementation
958,Mercedes-Benz,4417.62,Visionary 24/7 focus group
959,Land Rover,3064.28,Cross-group hybrid moratorium
960,BMW,9404.81,Object-based intermediate encryption
961,Kia,4429.27,Organized holistic model
962,Isuzu,4668.56,Automated disintermediate methodology
963,Ford,8705.58,Phased explicit definition
964,Mitsubishi,3422.22,Advanced asynchronous protocol
965,Chevrolet,3602.74,Decentralized interactive adapter
966,Bentley,2678.68,Optimized transitional success
967,Dodge,2157.85,Decentralized modular definition
968,Ford,8273.26,Secured fresh-thinking implementation
969,Chevrolet,7302.74,Integrated 5th generation access
970,Chevrolet,5298.3,Organic multimedia function
971,Toyota,7957.19,Ameliorated grid-enabled knowledge user
972,GMC,7287.3,Networked value-added groupware
973,Land Rover,8900.03,Balanced user-facing Graphical User Interface
974,Dodge,1540.59,Optimized regional concept
975,Mitsubishi,9865.44,Networked systematic pricing structure
976,Toyota,5014.56,Switchable transitional workforce
977,Mazda,123.1,Innovative grid-enabled moratorium
978,BMW,7309.77,Multi-channelled national capability
979,Ford,8296.86,Devolved static ability
980,Toyota,7354.02,Balanced upward-trending paradigm
981,Mazda,4657.68,Universal client-driven time-frame
982,GMC,2671.13,Customer-focused dedicated migration
983,Oldsmobile,6471.71,Ergonomic uniform synergy
984,Suzuki,8307.14,Compatible global collaboration
985,Buick,8011.69,Re-engineered leading edge implementation
986,BMW,3331.48,Re-engineered methodical Graphic Interface
987,Honda,5032.45,Triple-buffered even-keeled encoding
988,Scion,2682.8,Cross-group system-worthy orchestration
989,Lexus,659.44,Public-key web-enabled Graphical User Interface
990,Chevrolet,5131.39,Realigned zero defect budgetary management
991,Audi,8435.94,Cross-group multi-state service-desk
992,Chevrolet,2443.62,Public-key non-volatile workforce
993,Nissan,4543.13,Profound multi-state knowledge base
994,Lexus,1513.96,Organic executive extranet
995,Toyota,1219.17,Re-engineered local flexibility
996,Kia,5691.17,Triple-buffered tertiary complexity
997,Ford,134.29,Persevering directional system engine
998,Chevrolet,2869.95,Cross-group dynamic intranet
999,Cadillac,9804.0,Automated object-oriented encryption
1000,Spyker,6521.39,Object-based bifurcated paradigm
